# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=429555704
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.5158,1,0.50553,1,1,0,30.5636,0.164392
-30.2794,0.992234,0.734813,2,3,0,30.6388,0.0325215
-30.281,0.999554,1.05024,1,1,0,30.2822,0.0357664
-30.717,0.781454,1.51639,1,1,0,30.717,-0.201636
-30.3424,1,1.48451,2,3,0,30.5184,-0.0739888
-30.3424,0.0674903,2.13596,1,1,0,30.6881,-0.0739888
-31.5807,0.838015,0.596705,1,3,0,32.9043,-0.352586
-31.3373,1,0.647233,1,1,0,31.5927,-0.317204
-30.2855,1,0.93021,2,3,0,31.3012,-0.0253662
-30.6061,0.869198,1.33322,1,1,0,30.6068,-0.173411
-31.1638,0.843336,1.52003,2,3,0,31.1842,-0.289419
-30.9177,1,1.65585,1,1,0,31.4725,-0.244855
-30.9177,0.0020526,2.35854,1,1,0,33.374,-0.244855
-31.1343,0.979389,0.608412,2,3,0,31.3796,-0.284432
-30.2765,0.880067,0.837528,2,3,0,32.4859,0.025367
-30.2771,0.91345,0.971788,2,3,0,30.8755,0.0270167
-30.2833,0.997833,1.19175,1,1,0,30.2838,0.0396774
-30.3593,0.948453,1.68235,1,1,0,30.3755,0.101299
-30.3593,0.00076455,2.18055,1,1,0,31.3042,0.101299
-30.2785,0.995274,0.577601,1,3,0,30.4466,0.0305951
-30.2785,0.618651,0.810934,1,3,0,33.9506,0.0305951
-30.2741,0.984455,0.607383,3,7,0,30.6334,0.00327406
-30.2756,0.999844,0.835442,2,7,0,30.2757,0.0223865
-30.2762,0.999925,1.1761,2,3,0,30.2768,0.02463
-30.2762,0.263844,1.65202,1,1,0,30.9984,0.02463
-30.2738,0.999199,0.692498,3,7,0,30.2898,0.00703869
-30.274,0.999252,0.971009,2,3,0,30.2786,0.0137908
-31.7816,0.662407,1.35856,1,3,0,31.7907,-0.379378
-31.7816,0.647073,1.09765,1,1,0,33.0479,-0.379378
-32.579,0.863127,0.866286,1,1,0,32.6779,-0.471169
-32.8066,0.982886,0.970186,2,3,0,33.2824,-0.494312
-31.2582,1,1.31624,2,3,0,32.4831,-0.304843
-31.2582,0.244113,1.83176,1,1,0,31.5583,-0.304843
-30.4992,0.996863,0.760401,2,3,0,31.3249,-0.141288
-30.2741,0.998466,1.0525,1,3,0,30.4887,0.0149216
-30.2741,0.141951,1.45749,1,1,0,32.0634,0.0149216
